rowid,idhspid,DHSID,mean_pn,num
170,85401        14 8  2,BF199300000014,0.3341629634418292,18
171,85401        14 8  6,BF199300000014,0.27269339439316265,19
172,85401        1410  2,BF199300000014,0.2705025769205581,19
173,85401        15 1  3,BF199300000015,0.3230085100721361,19
174,85401        15 2  2,BF199300000015,0.30187510252666366,19
175,85401        15 5  2,BF199300000015,0.3473523238108701,18
176,85401        15 5  2,BF199300000015,0.33479328096113176,19
177,85401        1512  7,BF199300000015,0.3194452409993005,19
178,85401        16 2  2,BF199300000016,0.31555587137374846,18
179,85401        16 2  2,BF199300000016,0.27867077150287894,19
180,85401        1615  2,BF199300000016,0.25171190706172425,19
181,85401        1615  2,BF199300000016,0.3230085100721361,19
182,85401        1611 14,BF199300000016,0.3319638684942634,19
183,85401        1619  1,BF199300000016,0.31449772355137323,19
184,85401        17 1  2,BF199300000017,0.3386201749797221,18
185,85401        17 1  2,BF199300000017,0.27867077150287894,19
186,85401        17 4  2,BF199300000017,0.34607170975941015,18
187,85401        17 5  2,BF199300000017,0.3293339643448333,18
188,85401        17 5  2,BF199300000017,0.3312325502185067,19
189,85401        17 6  2,BF199300000017,0.3373699881962406,19
190,85401        17 8  2,BF199300000017,0.31449772355137323,19
191,85401        1713  2,BF199300000017,0.3151885785421092,19
192,85401        1714  2,BF199300000017,0.30927233971313295,19
193,85401        1716 14,BF199300000017,0.2729821892858867,18
194,85401        1718  2,BF199300000017,0.2907063069495749,19
195,85401        18 5  2,BF199300000018,0.3194452409993005,19
196,85401        18 6  2,BF199300000018,0.3194452409993005,19
197,85401        18 7  2,BF199300000018,0.3319638684942634,19
198,85401        18 8  2,BF199300000018,0.33479328096113176,19
199,85401        18 9  2,BF199300000018,0.33670559404307787,18
200,85401        1812  2,BF199300000018,0.34602072529312755,18
201,85401        1810  2,BF199300000018,0.32316162630932327,19
202,85401        1815  2,BF199300000018,0.27863672956373764,19
203,85401        1815  2,BF199300000018,0.3312325502185067,19
204,85401        1816  6,BF199300000018,0.32752258243646226,19
205,85401        1816  6,BF199300000018,0.31412303022548044,19
206,85401        19 1  3,BF199300000019,0.28155871501116664,19
207,85401        1911  2,BF199300000019,0.2907063069495749,19
208,85401        19 2  3,BF199300000019,0.2705025769205581,19
209,85401        19 4  2,BF199300000019,0.3151885785421092,19
210,85401        19 4  2,BF199300000019,0.3151885785421092,19
211,85401        19 5  2,BF199300000019,0.3151885785421092,19
212,85401        19 6  2,BF199300000019,0.34068428452956495,19
213,85401        1913  2,BF199300000019,0.2995935801673888,19
214,85401        1914  1,BF199300000019,0.3386201749797221,18
215,85401        1914  1,BF199300000019,0.31412303022548044,19
216,85401        1914  2,BF199300000019,0.31701552814047207,19
217,85401        20 1  6,BF199300000020,0.31701552814047207,19
218,85401        20 7  2,BF199300000020,0.30055371468727515,19
219,85401        20 7  2,BF199300000020,0.29110160621745945,19
220,85401        2011  2,BF199300000020,0.30187510252666366,19
221,85401        2011  2,BF199300000020,0.29615035381010996,19
222,85401        2015  2,BF199300000020,0.2893770800192172,19
223,85401        2015  2,BF199300000020,0.33670559404307787,18
224,85401        2016  2,BF199300000020,0.31701552814047207,19
225,85401        2016  2,BF199300000020,0.33839992111573736,18
226,85401        21 4  4,BF199300000021,0.34068428452956495,19
227,85401        21 5  2,BF199300000021,0.3151885785421092,19
228,85401        21 5  2,BF199300000021,0.32287383756128424,18
229,85401        21 8  2,BF199300000021,0.33839992111573736,18
230,85401        2110  1,BF199300000021,0.27867077150287894,19
231,85401        2112  2,BF199300000021,0.32974400863735565,19
