ID,idhspid,dhsid,mean_pn,num
329,85401        2641  2,BF199300000026,85.29888888888888,9
331,85401        27 2  2,BF199300000027,83.87444444444445,9
332,85401        27 2  2,BF199300000027,7.578666666666667,6
333,85401        27 4  2,BF199300000027,54.32866666666666,9
334,85401        27 4  2,BF199300000027,17.694714285714287,7
335,85401        27 6  2,BF199300000027,81.19611111111111,9
336,85401        27 8  2,BF199300000027,38.75277777777777,9
338,85401        2710 10,BF199300000027,83.68133333333333,9
339,85401        2710 10,BF199300000027,70.90377777777778,9
340,85401        2718  2,BF199300000027,21.945555555555558,9
342,85401        2718  7,BF199300000027,85.27833333333334,9
343,85401        2719  2,BF199300000027,84.94288888888889,9
344,85401        2719  2,BF199300000027,2.4852499999999997,4
345,85401        2720  2,BF199300000027,80.645,9
346,85401        2720  2,BF199300000027,25.786666666666665,9
347,85401        28 1  2,BF199300000028,54.32866666666666,9
348,85401        28 3  2,BF199300000028,50.20177777777778,9
349,85401        28 3  2,BF199300000028,0.33,2
350,85401        28 8  2,BF199300000028,84.43411111111111,9
351,85401        28 9  2,BF199300000028,76.56222222222222,9
352,85401        2812  3,BF199300000028,21.945555555555558,9
353,85401        2812  3,BF199300000028,0.33,2
354,85401        2813  2,BF199300000028,85.29888888888888,9
356,85401        2814  2,BF199300000028,83.82333333333334,9
357,85401        2821  2,BF199300000028,42.792,9
358,85401        2824  2,BF199300000028,75.04133333333333,9
359,85401        2824  2,BF199300000028,72.13555555555556,9
360,85401        2826  1,BF199300000028,2.4852499999999997,4
361,85401        2827  1,BF199300000028,3.099,5
362,85401        2828  2,BF199300000028,75.04133333333333,9
364,85401        2829  2,BF199300000028,68.80033333333333,9
365,85401        2832  3,BF199300000028,89.20611111111111,9
366,85401        2833  2,BF199300000028,39.70144444444445,9
367,85401        2833  2,BF199300000028,58.471888888888884,9
368,85401        2834  2,BF199300000028,24.194444444444446,9
369,85401        2838  2,BF199300000028,39.70144444444445,9
370,85401        2838  2,BF199300000028,83.82333333333334,9
371,85401        2841  2,BF199300000028,69.17099999999999,9
372,85401        29 2  2,BF199300000029,17.694714285714287,7
373,85401        29 3  2,BF199300000029,80.645,9
374,85401        29 3  2,BF199300000029,72.13555555555556,9
375,85401        29 4  2,BF199300000029,52.37544444444444,9
376,85401        29 5  2,BF199300000029,50.32888888888889,9
377,85401        29 6  2,BF199300000029,75.04133333333333,9
378,85401        29 6  2,BF199300000029,69.70911111111111,9
379,85401        29 8  2,BF199300000029,89.20611111111111,9
380,85401        29 9  2,BF199300000029,63.531666666666666,9
381,85401        2911  2,BF199300000029,25.786666666666665,9
382,85401        30 1  2,BF199300000030,69.70911111111111,9
383,85401        30 2  2,BF199300000030,42.792,9
384,85401        30 3  2,BF199300000030,69.70911111111111,9
386,85401        30 4  2,BF199300000030,71.066,9
387,85401        30 4 10,BF199300000030,60.47422222222222,9
388,85401        30 5  4,BF199300000030,82.79833333333333,9
389,85401        30 6  2,BF199300000030,74.47677777777778,9
390,85401        30 6  2,BF199300000030,85.27833333333334,9
392,85401        3010  2,BF199300000030,58.471888888888884,9
393,85401        3012  2,BF199300000030,50.20177777777778,9
394,85401        3013  2,BF199300000030,39.257666666666665,9
395,85401        3013  2,BF199300000030,81.19611111111111,9
396,85401        3015  2,BF199300000030,75.04133333333333,9
397,85401        3015  2,BF199300000030,84.43411111111111,9
398,85401        3017  2,BF199300000030,38.806555555555555,9
399,85401        3017  7,BF199300000030,50.20177777777778,9
400,85401        3017  7,BF199300000030,2.4852499999999997,4
401,85401        31 2  2,BF199300000031,83.87444444444445,9
402,85401        31 2  2,BF199300000031,68.80033333333333,9
403,85401        31 9  2,BF199300000031,75.04133333333333,9
404,85401        31 9  2,BF199300000031,50.20177777777778,9
405,85401        3110  3,BF199300000031,71.08911111111111,9
406,85401        3110  5,BF199300000031,75.04133333333333,9
407,85401        3110  5,BF199300000031,25.786666666666665,9
408,85401        3111  6,BF199300000031,38.75277777777777,9
409,85401        3112  2,BF199300000031,74.47677777777778,9
410,85401        3112  2,BF199300000031,85.27833333333334,9
411,85401        3113  8,BF199300000031,50.20177777777778,9
414,85401        3119  2,BF199300000031,74.47677777777778,9
415,85401        3126  2,BF199300000031,84.94288888888889,9
416,85401        3126  2,BF199300000031,25.786666666666665,9
417,85401        3129  2,BF199300000031,74.47677777777778,9
418,85401        3133  2,BF199300000031,39.257666666666665,9
419,85401        3133  2,BF199300000031,52.37544444444444,9
421,85401        3136  3,BF199300000031,37.13077777777778,9
422,85401        3137  2,BF199300000031,69.70911111111111,9
424,85401        3140  3,BF199300000031,84.43411111111111,9
